Price,Processor,RAM_GB,RAM_Type,CPU_bit,OS,Screen_size_cm,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Brand,Graphics_capa_GB,Years_warranty,Ratings
89990.0,Intel Core i7,16,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,3.8
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
58899.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.1
85990.0,Intel Core i5,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,MSI,4.0,2,4.5
33099.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,35.56,0.0,1024.0,0.0,DELL,0.5,1,3.8
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
73490.0,AMD Ryzen 7 Octa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,1,4.5
63490.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,Lenovo,4.0,1,4.3
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
38990.0,AMD Ryzen 5 Quad Core,8,DDR4,32,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,4.2
67990.0,Intel Core i5,8,DDR4,64,Windows 11,40.89,512.0,0.0,0.0,HP,4.0,1,4.3
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
39790.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.2
241990.0,Apple M1 Pro,16,Unified Memory,64,Mac OS,41.15,1024.0,0.0,0.0,APPLE,0.5,1,4.8
104990.0,Apple M1,8,DDR4,64,Mac OS,33.78,512.0,0.0,0.0,APPLE,0.5,1,4.6
42190.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,DELL,0.5,1,4.1
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
39990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,4.2
99990.0,Intel Core i7,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.5
35590.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
150990.0,AMD Ryzen 9 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.9
309490.0,Apple M1 Max,32,Unified Memory,64,Mac OS,41.15,1024.0,0.0,0.0,APPLE,0.5,1,4.3
64990.0,Intel Core i5,16,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,ASUS,0.5,1,4.4
89990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.6
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 10,43.94,512.0,0.0,0.0,ASUS,4.0,1,4.5
194990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,8.0,1,4.5
44990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.3
222990.0,Apple M1 Pro,16,Unified Memory,64,Mac OS,36.07,1024.0,0.0,0.0,APPLE,0.5,1,4.8
15990.0,Intel Celeron Dual Core,4,LPDDR4,64,DOS,35.81,128.0,0.0,0.0,Ultimus,0.5,1,3.0
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
45900.0,Intel OptaneIntel Core i3,8,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,DELL,0.5,1,4.3
79990.0,Intel Core i7,16,LPDDR4X,64,Windows 11,33.78,512.0,0.0,0.0,ASUS,0.5,1,4.3
56990.0,Intel Core i5,8,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,4.4
34990.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,DELL,0.5,1,4.2
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
43580.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,DELL,0.5,1,3.4
74990.0,AMD Ryzen 5 Hexa Core,16,DDR4,64,Windows 10,33.78,512.0,0.0,0.0,Lenovo,0.5,3,5.0
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
37490.0,Intel Core i3,8,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.3
20990.0,Intel Celeron Quad Core,4,LPDDR4X,64,Windows 11,35.56,128.0,0.0,0.0,Infinix,0.5,1,4.2
